userid,num_rows,num_attempts,mean_score_pct,median_score_pct,num_quizzes_taken,avg_time_spent_seconds,total_events,unique_courses,first_activity,last_activity,num_views,num_reports,active_days,events_per_day,engagement_score,consistency_score,performance_category,cluster,ml_cluster
34870,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-07 18:49:50,2025-01-14 19:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34872,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-07 18:50:24,2025-01-14 19:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34873,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-07 18:50:30,2025-01-14 19:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34874,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-07 18:50:33,2025-01-14 19:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34875,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-07 18:50:35,2025-01-14 19:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34876,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-07 18:50:37,2025-01-14 19:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34877,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-07 18:50:39,2025-01-14 19:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34878,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-07 18:50:44,2025-01-14 19:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34879,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-07 18:52:38,2025-01-14 19:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34880,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2025-01-14 19:00:02,2025-01-14 19:00:02,0.0,0.0,0.0,1.0,1.0,1.0,Low,0,0
34882,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-08 01:21:41,2025-01-15 01:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34888,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-08 01:23:43,2025-01-15 01:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34890,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-08 01:24:05,2025-01-15 01:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34925,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-08 01:43:14,2025-01-15 02:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34931,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-08 02:11:48,2025-01-15 02:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34932,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-08 02:16:06,2025-01-15 02:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34933,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-08 02:18:13,2025-01-15 02:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34972,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-08 20:43:42,2025-01-15 21:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
34983,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-08 22:23:18,2025-01-15 22:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
35328,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-09 08:14:08,2025-01-16 08:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
35329,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2025-01-09 08:14:25,2025-01-16 08:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
